id;fecha_licencia;referencias;numero_de_dias;observaciones;usuarios_mod
1;2019-11-04;lime enable;RSS;Tunisia Customer-focused Planner;Credit Card Account back-end Track
2;2019-11-04;transmit;Steel wireless;Trail;Usability
3;2019-11-04;Mission Executive Buckinghamshire;Borders function Bedfordshire;salmon index;Home Loan Account Central
4;2019-11-04;bus Principal;content generating;New Hampshire mobile Fall;Ergonomic TCP systems
5;2019-11-04;Future;structure;Burg;Orchestrator azure
6;2019-11-04;connect;Kwanza bus Tugrik;withdrawal;transparent cross-platform
7;2019-11-04;sky blue Data Industrial;olive Assistant Incredible;Books;next-generation payment Rustic Steel Cheese
8;2019-11-03;quantifying 1080p IB;Checking Account Fantastic Buckinghamshire;fresh-thinking;utilize Incredible Plastic Towels Generic
9;2019-11-04;Quality Small Frozen Computer;SQL Taka;Cambridgeshire;Reactive Cape Steel
10;2019-11-04;Dalasi white;foreground virtual Marketing;transitional Garden;Streets Optimized
