id;fecha;expediente;referencias
1;2019-11-04;Buckinghamshire;port
2;2019-11-04;Senior Tennessee Alley;User-centric bypass
3;2019-11-04;Refined innovative local;FTP South Carolina Human
4;2019-11-03;functionalities seize;Technician Ergonomic Australian Dollar
5;2019-11-04;cultivate invoice;UAE Dirham Wooden Realigned
6;2019-11-04;Chips radical;Quality
7;2019-11-04;data-warehouse Sleek bluetooth;Associate Fantastic
8;2019-11-04;syndicate ADP Locks;orchid
9;2019-11-04;clicks-and-mortar Refined Soft Mouse architectures;applications program reintermediate
10;2019-11-04;circuit deposit;El Salvador Colon US Dollar Checking Account fault-tolerant
